,Pair,Opened,Closed,Type,Entry Price,Exit Price,Amount,Profit,Balance
383,XBT/USD,2019-11-23 20:00:00,2019-11-24 02:00:00,long,7284.0,7196.5,7969725.0,-13.303322586910975,1301.0480686383478
384,XBT/USD,2016-04-08 20:00:00,2016-04-09 22:00:00,short,418.33,418.21,35121.0,0.02408988325658049,92.71227781106468
385,XBT/USD,2018-09-29 08:00:00,2018-09-29 10:00:00,short,6512.5,6588.5,3603534.0,-6.382751403196712,631.8923885269593
386,XBT/USD,2016-05-01 14:00:00,2016-05-02 07:00:00,long,452.57999999999987,447.5,38276.0,-0.9600677037005012,93.96898883913514
387,XBT/USD,2020-04-20 12:00:00,2020-04-22 07:00:00,short,7031.5,6944.0,9307221.0,16.67901449525512,1551.6922721697547
388,XBT/USD,2018-12-24 01:00:00,2018-12-24 09:00:00,long,4180.5,4111.0,2570098.0,-10.393427326505877,1011.6705087793547
389,XBT/USD,2019-11-23 20:00:00,2019-11-24 02:00:00,long,7284.0,7196.5,7969725.0,-13.303322586910975,1301.0480686383478
390,XBT/USD,2020-03-18 10:00:00,2020-03-18 12:00:00,short,5090.0,5215.5,3256395.0,-15.394552639771959,1524.0605922054115
391,XBT/USD,2019-10-09 03:00:00,2019-10-09 09:00:00,short,8126.5,8218.0,7964498.0,-10.912137380721589,1080.3016537696446
392,XBT/USD,2018-03-26 06:00:00,2018-03-28 12:00:00,short,8439.5,8022.5,3758301.0,23.147344284731773,531.7447246087827
393,XBT/USD,2019-08-31 20:00:00,2019-08-31 20:00:00,short,9493.5,9598.5,8629285.0,-9.94338803448256,984.395424004828
394,XBT/USD,2016-09-13 00:00:00,2016-09-15 06:00:00,long,605.89,606.15,66192.0,0.04686028842433897,124.2792641064794
395,XBT/USD,2017-01-11 03:00:00,2017-01-11 08:00:00,long,909.57,899.5,113851.0,-1.401293232752051,137.17651694767653
396,XBT/USD,2019-12-26 19:00:00,2019-12-26 20:00:00,long,7294.5,7208.5,7418774.0,-12.133613615311484,1186.9225375097712
397,XBT/USD,2016-09-19 16:00:00,2016-09-20 10:00:00,short,604.69,608.02,66419.0,-0.6015696459979566,121.72123853684826
398,XBT/USD,2016-03-21 05:00:00,2016-03-21 22:00:00,short,408.06,411.15,32314.0,-0.5951478653687062,94.12451815274049
399,XBT/USD,2016-03-27 08:00:00,2016-03-28 13:00:00,long,416.8,423.39,33377.0,1.2464199934728442,93.46910346430671
400,XBT/USD,2020-05-06 02:00:00,2020-05-09 06:00:00,long,8977.5,9695.0,13314349.0,109.75861414466782,1794.7950106482572
401,XBT/USD,2019-03-02 07:00:00,2019-03-05 10:00:00,short,3790.5,3718.0,2719673.0,13.99100171793544,800.2892263912757
402,XBT/USD,2017-09-09 21:00:00,2017-09-09 21:00:00,short,4270.7,4335.0,745744.0,-2.590076395397096,256.4175519295199
403,XBT/USD,2018-04-04 09:00:00,2018-04-07 02:00:00,short,7092.0,6840.5,2992283.0,15.512581652118092,550.0392946328271
